model,MAE,RMSE,WMAPE,sMAPE,R2,validation_year
年度同小时基准模型,0.07473816029143898,1.7989423587765019,0.0006824946373490673,0.0007333916092219776,0.9991045208890686,2024
最优加权集成模型,0.3312734115455664,1.8314106575549796,0.0030251256653166213,0.0594823437334928,0.999071904989955,2024
岭回归自回归模型,3.679738160291444,4.095250999133224,0.03360266765270253,0.12231773114075131,0.9953593158245043,2024
近期修正季节模型,3.679738160291444,4.095250999133224,0.03360266765270253,0.12231773114075131,0.9953593158245043,2024
LSTM深度学习模型,14.909443533697633,21.323957464071242,0.1361501971406292,0.2520771004905411,0.8741780016709277,2024
日历画像中位数模型,39.92991586976321,58.126183980395936,0.36463238250238855,0.4755168525800759,0.065101231407928,2024
指数平滑时间序列模型,87.36761445739963,103.1436244855238,0.7978244060683185,0.650851029670329,-1.9437826437391719,2024
年度同小时基准模型,0.0,0.0,0.0,0.0,1.0,2025
最优加权集成模型,0.01678920239643151,0.024655649011261008,0.0001532083087882172,0.037787337322987065,0.9999998321520241,2025
近期修正季节模型,5.898482142857148,5.898482142857147,0.053826051541121495,0.17665371539784686,0.9903935313864283,2025
LSTM深度学习模型,25.534588722858672,37.49861621368781,0.23301352032442985,0.3260682015980851,0.6117479895119877,2025
岭回归自回归模型,29.650390280802938,41.38386355188346,0.27057188558272094,0.36509391059358814,0.527126151029304,2025
日历画像中位数模型,36.08395319634703,52.35029671907641,0.3292807670708972,0.42800470478306046,0.24330384813702666,2025
指数平滑时间序列模型,86.91626492066237,102.7407450068248,0.7931463115551972,0.6491020439892389,-1.9145308151583147,2025
